_id,name,slug,modelName,modelSlug,brandSlug,status,fuel-type,power-hp,torque-nm,clutch-type,emission-norm,engine-capacity-cc,engine-type,gearbox,transmission-type,number-of-cylinders,rpm,no-of-reverse-gears,cooling-type,motor-type,no-of-cng-cylinders,engine-model,max-speed-km-h,gradeability,mileage,driving-range-km-charge,real-world-range-km-charge,battery-type,battery-warranty,cabin-type,turning-radius-mm,chassis-type,front-suspension,rear-suspension,tiltable-cabin,gross-vehicle-weight-kg,length-mm,height-mm,wheelbase-mm,ground-clearance-mm,fuel-tank-capacity-ltr,kerb-weight-kg,payload-kg,width-mm,battery-capacity-kwh,cargo-body-length-mm,cargo-body-width-mm,cargo-body-height-mm,front-tyre-size,number-of-tyres,rear-tyre-size,front-brake-type,rear-brake-type,tyre-type,front-rim-size,rear-rim-size,charger-type,ac-charging-time,dc-fast-charging-time,battery-swapping,adjustable-driver-seat,cruise-control,cruise-control-desc,seat-type,arm-rest,driver-information-display,driver-information-display-desc,tiltable-steering,navigation-system,navigation-system-desc,seating-capacity,air-conditioner,fog-lamps,no-of-fog-lamps,mobile-charging-point,infotainment-system,infotainment-system-desc,headlamps,drive-modes,no-of-seat-belts,gps-tracking,fuel-monitoring-system,digital-instrument-cluster,size-of-the-digital-instrument-cluster,driver-seat-belt-reminder,telematics,telematics-desc,hill-hold-assist,hill-hold-assist-desc,abs,adas,adas-desc,dashcam,tyre-pressure-monitoring-system,speed-limit-device,reverse-parking-alert,blind-spot-mirror,electronics-stability-control,no-of-airbags,lane-departure-warning,autonomous-emergency-braking,collision-mitigation-system,driver-monitoring-camera,camera-360-degree
6757daaec36324fd2950d08a,container 3800,container-3800,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6900,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3800,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dab4c36324fd2950d08b,CAB 3800,cab-3800,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6900,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3800,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dab9c36324fd2950d08c,FSD 4920,fsd-4920,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8750,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4920,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dabfc36324fd2950d08d,CAB 4920,cab-4920,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8750,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4920,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dac6c36324fd2950d08e,container 4530,container-4530,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8050,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4530,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dacac36324fd2950d08f,CAB 4530,cab-4530,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8050,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4530,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dad0c36324fd2950d090,HSD 4920,hsd-4920,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8750,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4920,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dad7c36324fd2950d091,container 4920,container-4920,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8750,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4920,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dadcc36324fd2950d092,CLB 3400,clb,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,6250,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,3400,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6757dae2c36324fd2950d093,CLB 4530,clb-4530,1012 LPT,1012-lpt,tata,,Diesel,123,390,Single plate dry friction type - 310 mm dia,BS VI,3300,3.3L NG In line water cooled direct Injection diesel engine with intercooler,5-Speed,Manual (MT),4,,,,,,,80,27,,,,,,Day Cabin,8050,C-Chassis,Semi-elliptical leaf spring with hydraulic double acting telescopic shock absorbers,Semi Elliptical Leaf Springs,,9600,,,4530,203,120,,,,,,,,8.25-16,6,8.25 X 16 - 16PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
